time,funding_rate,datetime_utc
1776326400,-6.4e-05,2026-04-16 08:00:00+00:00
1776355200,3.5e-05,2026-04-16 16:00:00+00:00
1776384000,6.7e-05,2026-04-17 00:00:00+00:00
1776412800,5.7e-05,2026-04-17 08:00:00+00:00
1776441600,-0.000196,2026-04-17 16:00:00+00:00
1776470400,-0.000345,2026-04-18 00:00:00+00:00
1776499200,-0.000215,2026-04-18 08:00:00+00:00
1776528000,-0.000108,2026-04-18 16:00:00+00:00
1776556800,-0.000132,2026-04-19 00:00:00+00:00
1776585600,-8.8e-05,2026-04-19 08:00:00+00:00
1776614400,-0.000139,2026-04-19 16:00:00+00:00
1776643200,8.6e-05,2026-04-20 00:00:00+00:00
1776672000,3e-06,2026-04-20 08:00:00+00:00
1776700800,3e-05,2026-04-20 16:00:00+00:00
1776729600,-0.00017,2026-04-21 00:00:00+00:00
1776758400,-0.000145,2026-04-21 08:00:00+00:00
1776787200,-1.3e-05,2026-04-21 16:00:00+00:00
1776816000,0.0001,2026-04-22 00:00:00+00:00
1776844800,-3.6e-05,2026-04-22 08:00:00+00:00
1776873600,-7.2e-05,2026-04-22 16:00:00+00:00
1776902400,4.8e-05,2026-04-23 00:00:00+00:00
1776931200,7.7e-05,2026-04-23 08:00:00+00:00
1776960000,7.2e-05,2026-04-23 16:00:00+00:00
1776988800,-9e-06,2026-04-24 00:00:00+00:00
1777017600,6.7e-05,2026-04-24 08:00:00+00:00
1777046400,4e-05,2026-04-24 16:00:00+00:00
1777075200,0.0001,2026-04-25 00:00:00+00:00
1777104000,1.2e-05,2026-04-25 08:00:00+00:00
1777132800,8.4e-05,2026-04-25 16:00:00+00:00
1777161600,0.0001,2026-04-26 00:00:00+00:00
1777190400,0.0001,2026-04-26 08:00:00+00:00
1777219200,5.9e-05,2026-04-26 16:00:00+00:00
1777248000,2.5e-05,2026-04-27 00:00:00+00:00
1777276800,3.9e-05,2026-04-27 08:00:00+00:00
1777305600,0.0001,2026-04-27 16:00:00+00:00
1777334400,1.2e-05,2026-04-28 00:00:00+00:00
1777363200,5.2e-05,2026-04-28 08:00:00+00:00
